framework_version,metadata.timestamp,metrics.E_final,metrics.E_initial,metrics.E_max,metrics.E_min,metrics.N_final,metrics.N_initial,metrics.fermion_com_final,metrics.fermion_lump_count_final,metrics.fermion_phi_max_final,metrics.fermion_phi_rms_final,params.dt,params.g_bf,params.grid_size,params.init_boson_amp,params.init_fermion_amp,params.lambda4_boson,params.lambda4_fermion,params.lump_min_voxels,params.lump_sigma_threshold,params.mass2_boson,params.mass2_fermion,params.n_boson,params.n_color,params.n_spin,params.seed,params.steps,params_source,run_dir,run_id,script,summary.timestamp
substrate_engine_v1,2025-11-24T19:46:20.101191,0.06646470503250945,0.02015957688233031,0.10335886742562672,0.02015957688233031,0.03459596369788343,0.009975611712481604,"9.84405617516272,3.1564313979487832,11.942254727861595",0,0.18851393513022682,0.08779239624859601,0.01,0.0,16,0.05,0.05,1.0,2.0,4,2.0,1.0,-1.0,1,3,1,0,200,summary.params,C:\GitHub\substrate_demo\outputs\substrate_pointer_exp\20251124_194620_dt+0p01_m2f-1_s0,20251124_194620_dt+0p01_m2f-1_s0,substrate_pointer_exp.py,2025-11-24T19:46:20.640616
substrate_engine_v1,2025-11-24T19:46:21.997369,0.06551187878167877,0.019992592554119695,0.10172067988543448,0.019992592554119695,0.03399063122460235,0.009851393042469164,"15.964785632811722,8.834881374421366,5.4939021655885965",1,0.18962526126287207,0.0863861188390973,0.01,0.0,16,0.05,0.05,1.0,2.0,4,2.0,1.0,-1.0,1,3,1,1,200,summary.params,C:\GitHub\substrate_demo\outputs\substrate_pointer_exp\20251124_194621_dt+0p01_m2f-1_s1,20251124_194621_dt+0p01_m2f-1_s1,substrate_pointer_exp.py,2025-11-24T19:46:22.512805
substrate_engine_v1,2025-11-24T19:46:23.768372,0.07192564623064086,0.02761118516459133,0.1117595045312109,0.02761118516459133,0.03477812888818657,0.009975611712481604,"5.062326088616939,15.945232964645655,11.298459799301918",0,0.18221031236289653,0.0827741188324731,0.01,0.0,16,0.05,0.05,1.0,2.0,4,2.0,1.0,-0.5,1,3,1,0,200,summary.params,C:\GitHub\substrate_demo\outputs\substrate_pointer_exp\20251124_194623_dt+0p01_m2f-0p5_s0,20251124_194623_dt+0p01_m2f-0p5_s0,substrate_pointer_exp.py,2025-11-24T19:46:24.360587
substrate_engine_v1,2025-11-24T19:46:25.612863,0.07095868756756897,0.027325069109943444,0.10999320635100762,0.027325069109943444,0.03425866157158732,0.009851393042469164,"15.274038523069523,8.884853688250015,5.872123320705849",2,0.1841583229978716,0.08160147084976346,0.01,0.0,16,0.05,0.05,1.0,2.0,4,2.0,1.0,-0.5,1,3,1,1,200,summary.params,C:\GitHub\substrate_demo\outputs\substrate_pointer_exp\20251124_194625_dt+0p01_m2f-0p5_s1,20251124_194625_dt+0p01_m2f-0p5_s1,substrate_pointer_exp.py,2025-11-24T19:46:26.136514
substrate_engine_v1,2025-11-24T19:46:27.374512,0.05090243830168181,0.02015957688233031,0.10335753506518965,0.02015957688233031,0.024276898696630078,0.009975611712481604,"13.189314090430148,5.233218515944354,8.81221361563557",2,0.18714584670522144,0.08419028847668444,0.005,0.0,16,0.05,0.05,1.0,2.0,4,2.0,1.0,-1.0,1,3,1,0,200,summary.params,C:\GitHub\substrate_demo\outputs\substrate_pointer_exp\20251124_194627_dt+0p005_m2f-1_s0,20251124_194627_dt+0p005_m2f-1_s0,substrate_pointer_exp.py,2025-11-24T19:46:27.891045
substrate_engine_v1,2025-11-24T19:46:29.177290,0.05038475634457633,0.019992592554119695,0.1017188906539824,0.019992592554119695,0.023944976222814527,0.009851393042469164,"11.214049820425206,15.163287473183395,8.48610717447757",2,0.17168007108938715,0.08318157724189176,0.005,0.0,16,0.05,0.05,1.0,2.0,4,2.0,1.0,-1.0,1,3,1,1,200,summary.params,C:\GitHub\substrate_demo\outputs\substrate_pointer_exp\20251124_194629_dt+0p005_m2f-1_s1,20251124_194629_dt+0p005_m2f-1_s1,substrate_pointer_exp.py,2025-11-24T19:46:29.741981
substrate_engine_v1,2025-11-24T19:46:31.052315,0.05406133889106301,0.02761118516459133,0.11177784833005763,0.02761118516459133,0.024046230854952364,0.009975611712481604,"14.836548205361957,5.784040846904615,9.327073431763722",2,0.2027156366362036,0.08763236089169718,0.005,0.0,16,0.05,0.05,1.0,2.0,4,2.0,1.0,-0.5,1,3,1,0,200,summary.params,C:\GitHub\substrate_demo\outputs\substrate_pointer_exp\20251124_194631_dt+0p005_m2f-0p5_s0,20251124_194631_dt+0p005_m2f-0p5_s0,substrate_pointer_exp.py,2025-11-24T19:46:31.589495
substrate_engine_v1,2025-11-24T19:46:32.923181,0.05348802578392731,0.027325069109943444,0.11000290309358919,0.027325069109943444,0.02372705266768649,0.009851393042469164,"12.005710831527592,15.267214927742117,9.903528956914048",3,0.17455251210707534,0.08660661727794033,0.005,0.0,16,0.05,0.05,1.0,2.0,4,2.0,1.0,-0.5,1,3,1,1,200,summary.params,C:\GitHub\substrate_demo\outputs\substrate_pointer_exp\20251124_194632_dt+0p005_m2f-0p5_s1,20251124_194632_dt+0p005_m2f-0p5_s1,substrate_pointer_exp.py,2025-11-24T19:46:33.469338
substrate_engine_v1,2025-11-24T19:51:01.894948,0.06646470503250945,0.02015957688233031,0.10335886742562672,0.02015957688233031,0.03459596369788343,0.009975611712481604,"9.84405617516272,3.1564313979487832,11.942254727861595",0,0.18851393513022682,0.08779239624859601,0.01,0.0,16,0.05,0.05,1.0,2.0,4,2.0,1.0,-1.0,1,3,1,0,200,summary.params,C:\GitHub\substrate_demo\outputs\substrate_pointer_exp\20251124_195101_dt+0p01_m2f-1_s0,20251124_195101_dt+0p01_m2f-1_s0,substrate_pointer_exp.py,2025-11-24T19:51:02.405734
substrate_engine_v1,2025-11-24T19:51:03.610131,0.06551187878167877,0.019992592554119695,0.10172067988543448,0.019992592554119695,0.03399063122460235,0.009851393042469164,"15.964785632811722,8.834881374421366,5.4939021655885965",1,0.18962526126287207,0.0863861188390973,0.01,0.0,16,0.05,0.05,1.0,2.0,4,2.0,1.0,-1.0,1,3,1,1,200,summary.params,C:\GitHub\substrate_demo\outputs\substrate_pointer_exp\20251124_195103_dt+0p01_m2f-1_s1,20251124_195103_dt+0p01_m2f-1_s1,substrate_pointer_exp.py,2025-11-24T19:51:04.116931
substrate_engine_v1,2025-11-24T19:51:05.341576,0.07192564623064086,0.02761118516459133,0.1117595045312109,0.02761118516459133,0.03477812888818657,0.009975611712481604,"5.062326088616939,15.945232964645655,11.298459799301918",0,0.18221031236289653,0.0827741188324731,0.01,0.0,16,0.05,0.05,1.0,2.0,4,2.0,1.0,-0.5,1,3,1,0,200,summary.params,C:\GitHub\substrate_demo\outputs\substrate_pointer_exp\20251124_195105_dt+0p01_m2f-0p5_s0,20251124_195105_dt+0p01_m2f-0p5_s0,substrate_pointer_exp.py,2025-11-24T19:51:05.896522
substrate_engine_v1,2025-11-24T19:51:07.108858,0.07095868756756897,0.027325069109943444,0.10999320635100762,0.027325069109943444,0.03425866157158732,0.009851393042469164,"15.274038523069523,8.884853688250015,5.872123320705849",2,0.1841583229978716,0.08160147084976346,0.01,0.0,16,0.05,0.05,1.0,2.0,4,2.0,1.0,-0.5,1,3,1,1,200,summary.params,C:\GitHub\substrate_demo\outputs\substrate_pointer_exp\20251124_195107_dt+0p01_m2f-0p5_s1,20251124_195107_dt+0p01_m2f-0p5_s1,substrate_pointer_exp.py,2025-11-24T19:51:07.630317
substrate_engine_v1,2025-11-24T19:51:08.860758,0.05090243830168181,0.02015957688233031,0.10335753506518965,0.02015957688233031,0.024276898696630078,0.009975611712481604,"13.189314090430148,5.233218515944354,8.81221361563557",2,0.18714584670522144,0.08419028847668444,0.005,0.0,16,0.05,0.05,1.0,2.0,4,2.0,1.0,-1.0,1,3,1,0,200,summary.params,C:\GitHub\substrate_demo\outputs\substrate_pointer_exp\20251124_195108_dt+0p005_m2f-1_s0,20251124_195108_dt+0p005_m2f-1_s0,substrate_pointer_exp.py,2025-11-24T19:51:09.381514
substrate_engine_v1,2025-11-24T19:51:10.592268,0.05038475634457633,0.019992592554119695,0.1017188906539824,0.019992592554119695,0.023944976222814527,0.009851393042469164,"11.214049820425206,15.163287473183395,8.48610717447757",2,0.17168007108938715,0.08318157724189176,0.005,0.0,16,0.05,0.05,1.0,2.0,4,2.0,1.0,-1.0,1,3,1,1,200,summary.params,C:\GitHub\substrate_demo\outputs\substrate_pointer_exp\20251124_195110_dt+0p005_m2f-1_s1,20251124_195110_dt+0p005_m2f-1_s1,substrate_pointer_exp.py,2025-11-24T19:51:11.109678
substrate_engine_v1,2025-11-24T19:51:12.325404,0.05406133889106301,0.02761118516459133,0.11177784833005763,0.02761118516459133,0.024046230854952364,0.009975611712481604,"14.836548205361957,5.784040846904615,9.327073431763722",2,0.2027156366362036,0.08763236089169718,0.005,0.0,16,0.05,0.05,1.0,2.0,4,2.0,1.0,-0.5,1,3,1,0,200,summary.params,C:\GitHub\substrate_demo\outputs\substrate_pointer_exp\20251124_195112_dt+0p005_m2f-0p5_s0,20251124_195112_dt+0p005_m2f-0p5_s0,substrate_pointer_exp.py,2025-11-24T19:51:12.846148
substrate_engine_v1,2025-11-24T19:51:14.103522,0.05348802578392731,0.027325069109943444,0.11000290309358919,0.027325069109943444,0.02372705266768649,0.009851393042469164,"12.005710831527592,15.267214927742117,9.903528956914048",3,0.17455251210707534,0.08660661727794033,0.005,0.0,16,0.05,0.05,1.0,2.0,4,2.0,1.0,-0.5,1,3,1,1,200,summary.params,C:\GitHub\substrate_demo\outputs\substrate_pointer_exp\20251124_195114_dt+0p005_m2f-0p5_s1,20251124_195114_dt+0p005_m2f-0p5_s1,substrate_pointer_exp.py,2025-11-24T19:51:14.631795
