time,energy
0.000000000000000000e+00,1.995530061454856607e+01
1.000000000000000056e-01,1.995520349057444776e+01
2.000000000000000111e-01,1.995510766192286667e+01
2.999999999999999889e-01,1.995501859700695135e+01
4.000000000000000222e-01,1.995493901589085084e+01
5.000000000000000000e-01,1.995486849846746580e+01
5.999999999999999778e-01,1.995480415570403565e+01
7.000000000000000666e-01,1.995474208141212813e+01
8.000000000000000444e-01,1.995467903634846252e+01
9.000000000000000222e-01,1.995461375897881240e+01
1.000000000000000000e+00,1.995454746231794729e+01
1.100000000000000089e+00,1.995448339365651336e+01
1.199999999999999956e+00,1.995442567931925737e+01
1.300000000000000044e+00,1.995437792118647735e+01
1.400000000000000133e+00,1.995434207128849025e+01
1.500000000000000000e+00,1.995431797439794508e+01
1.600000000000000089e+00,1.995430369797964332e+01
1.699999999999999956e+00,1.995429647098335479e+01
1.800000000000000044e+00,1.995429383748251695e+01
1.900000000000000133e+00,1.995429457060821932e+01
2.000000000000000000e+00,1.995429899870332235e+01
2.100000000000000089e+00,1.995430862119922466e+01
2.200000000000000178e+00,1.995432515018558917e+01
2.300000000000000266e+00,1.995434931382293087e+01
2.399999999999999911e+00,1.995437983549785699e+01
2.500000000000000000e+00,1.995441294043432734e+01
2.600000000000000089e+00,1.995444257005091515e+01
2.700000000000000178e+00,1.995446126741111925e+01
2.800000000000000266e+00,1.995446150646747441e+01
2.899999999999999911e+00,1.995443712850463314e+01
3.000000000000000000e+00,1.995438454352028756e+01
3.100000000000000089e+00,1.995430343926330963e+01
3.200000000000000178e+00,1.995419687817413745e+01
3.300000000000000266e+00,1.995407080653153997e+01
3.399999999999999911e+00,1.995393311340917819e+01
3.500000000000000000e+00,1.995379244078596415e+01
3.600000000000000089e+00,1.995365696049696425e+01
3.700000000000000178e+00,1.995353331091791915e+01
3.800000000000000266e+00,1.995342584139320863e+01
3.899999999999999911e+00,1.995333625651583631e+01
4.000000000000000000e+00,1.995326369098237507e+01
4.099999999999999645e+00,1.995320518182396796e+01
4.200000000000000178e+00,1.995315644308630709e+01
4.299999999999999822e+00,1.995311279735340904e+01
4.400000000000000355e+00,1.995307009042267410e+01
4.500000000000000000e+00,1.995302541965283893e+01
4.600000000000000533e+00,1.995297754585902794e+01
4.700000000000000178e+00,1.995292692633564613e+01
4.799999999999999822e+00,1.995287538731626142e+01
4.900000000000000355e+00,1.995282552856220093e+01
5.000000000000000000e+00,1.995278000335832047e+01
5.100000000000000533e+00,1.995274083344899196e+01
5.200000000000000178e+00,1.995270889907747502e+01
5.299999999999999822e+00,1.995268369655575214e+01
5.400000000000000355e+00,1.995266339262870758e+01
5.500000000000000000e+00,1.995264514126146693e+01
5.600000000000000533e+00,1.995262557803022574e+01
5.700000000000000178e+00,1.995260137993548710e+01
5.799999999999999822e+00,1.995256977864913139e+01
5.900000000000000355e+00,1.995252894099530749e+01
6.000000000000000000e+00,1.995247817338940521e+01
6.100000000000000533e+00,1.995241795356280790e+01
6.200000000000000178e+00,1.995234982829783021e+01
6.299999999999999822e+00,1.995227622895681563e+01
6.400000000000000355e+00,1.995220024497378475e+01
6.500000000000000000e+00,1.995212536790542757e+01
6.600000000000000533e+00,1.995205519230860247e+01
6.700000000000000178e+00,1.995199305286434210e+01
6.799999999999999822e+00,1.995194159959375924e+01
6.900000000000000355e+00,1.995190235916283328e+01
7.000000000000000000e+00,1.995187537929723476e+01
7.100000000000000533e+00,1.995185907730913044e+01
7.200000000000000178e+00,1.995185039115826697e+01
7.299999999999999822e+00,1.995184525957411381e+01
7.400000000000000355e+00,1.995183935716665857e+01
7.500000000000000000e+00,1.995182891862405228e+01
7.600000000000000533e+00,1.995181144180540755e+01
7.700000000000000178e+00,1.995178608512831531e+01
7.799999999999999822e+00,1.995175366466336087e+01
7.900000000000000355e+00,1.995171627839052420e+01
8.000000000000000000e+00,1.995167669309404346e+01
8.099999999999999645e+00,1.995163768350733946e+01
8.199999999999999289e+00,1.995160149712016207e+01
8.300000000000000711e+00,1.995156954502777680e+01
8.400000000000000355e+00,1.995154232554175522e+01
8.500000000000000000e+00,1.995151951438371540e+01
8.599999999999999645e+00,1.995150013040946035e+01
8.700000000000001066e+00,1.995148271029058762e+01
8.800000000000000711e+00,1.995146547613470744e+01
8.900000000000000355e+00,1.995144652227895676e+01
9.000000000000000000e+00,1.995142405466892299e+01
9.099999999999999645e+00,1.995139668339506400e+01
9.200000000000001066e+00,1.995136371545894960e+01
9.300000000000000711e+00,1.995132535376921723e+01
9.400000000000000355e+00,1.995128270848339369e+01
9.500000000000000000e+00,1.995123757648190832e+01
9.599999999999999645e+00,1.995119202633933497e+01
9.700000000000001066e+00,1.995114790386551107e+01
9.800000000000000711e+00,1.995110641058597878e+01
9.900000000000000355e+00,1.995106788513661300e+01
1.000000000000000000e+01,1.995103184303756905e+01
1.009999999999999964e+01,1.995099723470083930e+01
1.020000000000000107e+01,1.995096280483557294e+01
1.030000000000000071e+01,1.995092740958366662e+01
1.040000000000000036e+01,1.995089017948022914e+01
1.050000000000000000e+01,1.995085049076129735e+01
1.059999999999999964e+01,1.995080779241268942e+01
1.070000000000000107e+01,1.995076139757693312e+01
1.080000000000000071e+01,1.995071036312060997e+01
1.090000000000000036e+01,1.995065354685902648e+01
1.100000000000000000e+01,1.995058986265789969e+01
1.109999999999999964e+01,1.995051867468672313e+01
1.120000000000000107e+01,1.995044021013751134e+01
1.130000000000000071e+01,1.995035584477878388e+01
1.140000000000000036e+01,1.995026813659224629e+01
1.150000000000000000e+01,1.995018054568559052e+01
1.159999999999999964e+01,1.995009686840731078e+01
1.170000000000000107e+01,1.995002050608497512e+01
1.180000000000000071e+01,1.994995375606366395e+01
1.190000000000000036e+01,1.994989732981324693e+01
1.200000000000000000e+01,1.994985025653123500e+01
1.209999999999999964e+01,1.994981022670949500e+01
1.220000000000000107e+01,1.994977429589573248e+01
1.230000000000000071e+01,1.994973974751378165e+01
1.240000000000000036e+01,1.994970485020004247e+01
1.250000000000000000e+01,1.994966926886343472e+01
1.259999999999999964e+01,1.994963399852083086e+01
1.270000000000000107e+01,1.994960085103718939e+01
1.280000000000000071e+01,1.994957167929227637e+01
1.290000000000000036e+01,1.994954761208501637e+01
1.300000000000000000e+01,1.994952856091313365e+01
1.309999999999999964e+01,1.994951315091579147e+01
1.320000000000000107e+01,1.994949906634469983e+01
1.330000000000000071e+01,1.994948365134217738e+01
1.340000000000000036e+01,1.994946452924951785e+01
1.350000000000000000e+01,1.994944002671213568e+01
1.359999999999999964e+01,1.994940929798706719e+01
1.370000000000000107e+01,1.994937218939232437e+01
1.380000000000000071e+01,1.994932899935305315e+01
1.390000000000000036e+01,1.994928032580049759e+01
1.400000000000000000e+01,1.994922713488442412e+01
1.409999999999999964e+01,1.994917105893497933e+01
1.420000000000000107e+01,1.994911479217460482e+01
1.430000000000000071e+01,1.994906236045689241e+01
1.440000000000000036e+01,1.994901903835980406e+01
1.450000000000000000e+01,1.994899078093784084e+01
1.459999999999999964e+01,1.994898319946146614e+01
1.470000000000000107e+01,1.994900028613054843e+01
1.480000000000000071e+01,1.994904322096805060e+01
1.490000000000000036e+01,1.994910962700436130e+01
1.500000000000000000e+01,1.994919355775507697e+01
1.509999999999999964e+01,1.994928631907178129e+01
1.520000000000000107e+01,1.994937799313658999e+01
1.530000000000000071e+01,1.994945931388701155e+01
1.540000000000000036e+01,1.994952341109511806e+01
1.550000000000000000e+01,1.994956694593446400e+01
1.559999999999999964e+01,1.994959031660732052e+01
1.570000000000000107e+01,1.994959688205302228e+01
1.580000000000000071e+01,1.994959145494189201e+01
1.590000000000000036e+01,1.994957855110287426e+01
1.600000000000000000e+01,1.994956096388879629e+01
1.610000000000000142e+01,1.994953911995446916e+01
1.619999999999999929e+01,1.994951139779498561e+01
1.630000000000000071e+01,1.994947524654300608e+01
1.639999999999999858e+01,1.994942865639081830e+01
1.650000000000000000e+01,1.994937141349463516e+01
1.660000000000000142e+01,1.994930566898545976e+01
1.669999999999999929e+01,1.994923562656294536e+01
1.680000000000000071e+01,1.994916649638851780e+01
1.689999999999999858e+01,1.994910313650227707e+01
1.700000000000000000e+01,1.994904889816774229e+01
1.710000000000000142e+01,1.994900507582704918e+01
1.719999999999999929e+01,1.994897109294435111e+01
1.730000000000000071e+01,1.994894525296756171e+01
1.740000000000000213e+01,1.994892568031177049e+01
1.750000000000000000e+01,1.994891105107681994e+01
1.760000000000000142e+01,1.994890086447351862e+01
1.769999999999999929e+01,1.994889525108496642e+01
1.780000000000000071e+01,1.994889453194920748e+01
1.790000000000000213e+01,1.994889883157219757e+01
1.800000000000000000e+01,1.994890797409965089e+01
1.810000000000000142e+01,1.994892170193421777e+01
1.819999999999999929e+01,1.994894005272437099e+01
1.830000000000000071e+01,1.994896362033958326e+01
1.840000000000000213e+01,1.994899346592456624e+01
1.850000000000000000e+01,1.994903061778343201e+01
1.860000000000000142e+01,1.994907531889515795e+01
1.869999999999999929e+01,1.994912633951519254e+01
1.880000000000000071e+01,1.994918068974902070e+01
1.890000000000000213e+01,1.994923393021156244e+01
1.900000000000000000e+01,1.994928104683025083e+01
1.910000000000000142e+01,1.994931763023371474e+01
1.919999999999999929e+01,1.994934097747808366e+01
1.930000000000000071e+01,1.994935076193478807e+01
1.940000000000000213e+01,1.994934907661487244e+01
1.950000000000000000e+01,1.994933987386763974e+01
1.960000000000000142e+01,1.994932801017316848e+01
1.969999999999999929e+01,1.994931819271993234e+01
1.980000000000000071e+01,1.994931409848939197e+01
1.990000000000000213e+01,1.994931782997515057e+01
2.000000000000000000e+01,1.994932974401778480e+01
