time,energy
0.000000000000000000e+00,9.951603482828060621e+00
1.000000000000000056e-01,9.951457769895046823e+00
2.000000000000000111e-01,9.951323756218883432e+00
2.999999999999999889e-01,9.951206664726699458e+00
4.000000000000000222e-01,9.951108261541438793e+00
5.000000000000000000e-01,9.951026710890523930e+00
5.999999999999999778e-01,9.950957389894668381e+00
7.000000000000000666e-01,9.950894381886744355e+00
8.000000000000000444e-01,9.950832171201756893e+00
9.000000000000000222e-01,9.950767028117235569e+00
1.000000000000000000e+00,9.950697703684866724e+00
1.100000000000000089e+00,9.950625298982668454e+00
1.199999999999999956e+00,9.950552445379734934e+00
1.300000000000000044e+00,9.950482141312852136e+00
1.400000000000000133e+00,9.950416672406770857e+00
1.500000000000000000e+00,9.950356976522519048e+00
1.600000000000000089e+00,9.950302633400525565e+00
1.699999999999999956e+00,9.950252426509225145e+00
1.800000000000000044e+00,9.950205222434409080e+00
1.900000000000000133e+00,9.950160807520486372e+00
2.000000000000000000e+00,9.950120344970194708e+00
2.100000000000000089e+00,9.950086256531919915e+00
2.200000000000000178e+00,9.950061540205693333e+00
2.300000000000000266e+00,9.950048736479777389e+00
2.399999999999999911e+00,9.950048881335481710e+00
2.500000000000000000e+00,9.950060792768365303e+00
2.600000000000000089e+00,9.950080928554685400e+00
2.700000000000000178e+00,9.950103867152181536e+00
2.800000000000000266e+00,9.950123267389464843e+00
2.899999999999999911e+00,9.950133023568591639e+00
3.000000000000000000e+00,9.950128295017238500e+00
3.100000000000000089e+00,9.950106158647956889e+00
3.200000000000000178e+00,9.950065776652442295e+00
3.300000000000000266e+00,9.950008131850159643e+00
3.399999999999999911e+00,9.949935502100185403e+00
3.500000000000000000e+00,9.949850885291471769e+00
3.600000000000000089e+00,9.949757543992838293e+00
3.700000000000000178e+00,9.949658742095353503e+00
3.800000000000000266e+00,9.949557640932860991e+00
3.899999999999999911e+00,9.949457253694015790e+00
4.000000000000000000e+00,9.949360349322832420e+00
4.099999999999999645e+00,9.949269247782345005e+00
4.200000000000000178e+00,9.949185530505772590e+00
4.299999999999999822e+00,9.949109764417167767e+00
4.400000000000000355e+00,9.949041370895271186e+00
4.500000000000000000e+00,9.948978746004087270e+00
4.600000000000000533e+00,9.948919662129474872e+00
4.700000000000000178e+00,9.948861880917862166e+00
4.799999999999999822e+00,9.948803820112910756e+00
4.900000000000000355e+00,9.948745076147472943e+00
5.000000000000000000e+00,9.948686628562221301e+00
5.100000000000000533e+00,9.948630637963395529e+00
5.200000000000000178e+00,9.948579871323721235e+00
5.299999999999999822e+00,9.948536908091071496e+00
5.400000000000000355e+00,9.948503357502849198e+00
5.500000000000000000e+00,9.948479323706465038e+00
5.600000000000000533e+00,9.948463285460169558e+00
5.700000000000000178e+00,9.948452431938864748e+00
5.799999999999999822e+00,9.948443356112395719e+00
5.900000000000000355e+00,9.948432899250374106e+00
6.000000000000000000e+00,9.948418900696188061e+00
6.100000000000000533e+00,9.948400648134828828e+00
6.200000000000000178e+00,9.948378927941050165e+00
6.299999999999999822e+00,9.948355703054540200e+00
6.400000000000000355e+00,9.948333550706600192e+00
6.500000000000000000e+00,9.948315039683354399e+00
6.600000000000000533e+00,9.948302207443351364e+00
6.700000000000000178e+00,9.948296229573431404e+00
6.799999999999999822e+00,9.948297293460411694e+00
6.900000000000000355e+00,9.948304630349554145e+00
7.000000000000000000e+00,9.948316644284668442e+00
7.100000000000000533e+00,9.948331097761048625e+00
7.200000000000000178e+00,9.948345347988251319e+00
7.299999999999999822e+00,9.948356645600712866e+00
7.400000000000000355e+00,9.948362492809176061e+00
7.500000000000000000e+00,9.948361015843326882e+00
7.600000000000000533e+00,9.948351262423441810e+00
7.700000000000000178e+00,9.948333320426028692e+00
7.799999999999999822e+00,9.948308188545187392e+00
7.900000000000000355e+00,9.948277408599059513e+00
8.000000000000000000e+00,9.948242562076575979e+00
8.099999999999999645e+00,9.948204798268788451e+00
8.199999999999999289e+00,9.948164563755762302e+00
8.300000000000000711e+00,9.948121634923921874e+00
8.400000000000000355e+00,9.948075440344531728e+00
8.500000000000000000e+00,9.948025544828723810e+00
8.599999999999999645e+00,9.947972100703710296e+00
8.700000000000001066e+00,9.947916083384843233e+00
8.800000000000000711e+00,9.947859213435691572e+00
8.900000000000000355e+00,9.947803590259855611e+00
9.000000000000000000e+00,9.947751172070514514e+00
9.099999999999999645e+00,9.947703288741465144e+00
9.200000000000001066e+00,9.947660350538532370e+00
9.300000000000000711e+00,9.947621831226976852e+00
9.400000000000000355e+00,9.947586497841806263e+00
9.500000000000000000e+00,9.947552776695014032e+00
9.599999999999999645e+00,9.947519117182242354e+00
9.700000000000001066e+00,9.947484246403094588e+00
9.800000000000000711e+00,9.947447276994536125e+00
9.900000000000000355e+00,9.947407701879539488e+00
1.000000000000000000e+01,9.947365349708139348e+00
1.009999999999999964e+01,9.947320368153599546e+00
1.020000000000000107e+01,9.947273257024960458e+00
1.030000000000000071e+01,9.947224915989810512e+00
1.040000000000000036e+01,9.947176634586011090e+00
1.050000000000000000e+01,9.947129957468085593e+00
1.059999999999999964e+01,9.947086407607969250e+00
1.070000000000000107e+01,9.947047124736643653e+00
1.080000000000000071e+01,9.947012541906637750e+00
1.090000000000000036e+01,9.946982245892799668e+00
1.100000000000000000e+01,9.946955128192080053e+00
1.109999999999999964e+01,9.946929838023191195e+00
1.120000000000000107e+01,9.946905427336767858e+00
1.130000000000000071e+01,9.946881976342048404e+00
1.140000000000000036e+01,9.946860951230620529e+00
1.150000000000000000e+01,9.946845099132506363e+00
1.159999999999999964e+01,9.946837822324019029e+00
1.170000000000000107e+01,9.946842154067473629e+00
1.180000000000000071e+01,9.946859619788096296e+00
1.190000000000000036e+01,9.946889346835826373e+00
1.200000000000000000e+01,9.946927745336219928e+00
1.209999999999999964e+01,9.946968924987928062e+00
1.220000000000000107e+01,9.947005786021529516e+00
1.230000000000000071e+01,9.947031504268212032e+00
1.240000000000000036e+01,9.947040999016060425e+00
1.250000000000000000e+01,9.947031977211281628e+00
1.259999999999999964e+01,9.947005287767549220e+00
1.270000000000000107e+01,9.946964543438445716e+00
1.280000000000000071e+01,9.946915191873461737e+00
1.290000000000000036e+01,9.946863361017321381e+00
1.300000000000000000e+01,9.946814820281968395e+00
1.309999999999999964e+01,9.946774293740428874e+00
