step,time,norm,E_total,E_dirac,E_em
200,2.000000,1.0000021683985216e+00,6.0611460292431002e-02,5.8727739789792927e-02,1.8837205026380759e-03
400,4.000000,1.0000007628273104e+00,1.4771894707955544e-02,-8.9491092680581011e-04,1.5666805634761354e-02
600,6.000000,1.0000012068886570e+00,2.2875384164381635e-02,-1.0553493511625708e-02,3.3428877676007343e-02
800,8.000000,1.0000018220909204e+00,5.3853503594842089e-02,8.9117558315270143e-03,4.4941747763315075e-02
1000,10.000000,1.0000018926707772e+00,7.8052055679543167e-02,2.4077653004199978e-02,5.3974402675343189e-02
1200,12.000000,1.0000018376957474e+00,9.5575849707648625e-02,3.0434662173793044e-02,6.5141187533855588e-02
1400,14.000000,1.0000018167529747e+00,1.1124915230856104e-01,3.2368773608620519e-02,7.8880378699940523e-02
1600,16.000000,1.0000018106130331e+00,1.2595275649224355e-01,3.2312436930930270e-02,9.3640319561313287e-02
1800,18.000000,1.0000018064269598e+00,1.3935647260098244e-01,3.1300259505629181e-02,1.0805621309535327e-01
2000,20.000000,1.0000017995842496e+00,1.5135744446733954e-01,2.9929745579184514e-02,1.2142769888815502e-01
2200,22.000000,1.0000017843278668e+00,1.6225154185365212e-01,2.8757116090515702e-02,1.3349442576313642e-01
2400,24.000000,1.0000017623669772e+00,1.7290239499815910e-01,2.8700980316475579e-02,1.4420141468168352e-01
2600,26.000000,1.0000017804790848e+00,1.8442671992712287e-01,3.0850408971032896e-02,1.5357631095608998e-01
2800,28.000000,1.0000019069204418e+00,1.9528799056762336e-01,3.3636984854116772e-02,1.6165100571350660e-01
3000,30.000000,1.0000019997094722e+00,1.9795079413269739e-01,2.9476384387308364e-02,1.6847440974538902e-01
3200,32.000000,1.0000017038463809e+00,1.8761512561792210e-01,1.3180204414152236e-02,1.7443492120376985e-01
3400,34.000000,1.0000012419911957e+00,1.8003960898794200e-01,-1.4793291333014392e-04,1.8018754190127215e-01
3600,36.000000,1.0000014518632760e+00,1.9806315078312808e-01,1.2593476035263299e-02,1.8546967474786477e-01
3800,38.000000,1.0000021340183933e+00,2.3129093818538382e-01,4.1977295344578128e-02,1.8931364284080571e-01
4000,40.000000,1.0000022729991862e+00,2.4694441829043812e-01,5.5583416241491129e-02,1.9136100204894699e-01
