step,time,norm,E_total,E_dirac,E_em
200,2.000000,1.0000021690166001e+00,6.0610016984242933e-02,5.8726235137196436e-02,1.8837818470464941e-03
400,4.000000,1.0000007630337837e+00,1.4755870502080215e-02,-9.1244144659054617e-04,1.5668311948670761e-02
600,6.000000,1.0000012059785808e+00,2.2845403035020237e-02,-1.0585213453677142e-02,3.3430616488697378e-02
800,8.000000,1.0000018210783286e+00,5.3826056679750607e-02,8.8858313011955011e-03,4.4940225378555104e-02
1000,10.000000,1.0000018918165943e+00,7.8031179214339969e-02,2.4062567688163169e-02,5.3968611526176796e-02
1200,12.000000,1.0000018369225949e+00,9.5558392751307689e-02,3.0426431524820188e-02,6.5131961226487498e-02
1400,14.000000,1.0000018160189819e+00,1.1123284856084115e-01,3.2363342717638278e-02,7.8869505843202861e-02
1600,16.000000,1.0000018099379895e+00,1.2593728385170080e-01,3.2307963377418723e-02,9.3629320474282074e-02
1800,18.000000,1.0000018058282287e+00,1.3934197004312812e-01,3.1295971876349853e-02,1.0804599816677826e-01
2000,20.000000,1.0000017990675620e+00,1.5134393423339090e-01,2.9925212233561989e-02,1.2141872199982892e-01
