M,M_abs,E_Ising,E_defrag,E_total,E_bind,n_walls,var_M,Phi_max,Phi_var,sweep
0.59228515625,0.59228515625,-2792.0,1030.3430373163064,-1761.6569626836936,-1030.3430373163062,1213,0.6491982936859131,10.682110663796502,16.82281630655946,0
0.0,0.0,-7924.0,174900.64110600515,166976.64110600515,-174900.64110600515,128,1.0,127.91398935686347,8743.915270626321,100
0.0,0.0,-7936.0,174931.5418641721,166995.5418641721,-174931.5418641721,128,1.0,127.9166771780402,8745.248591672633,200
0.0,0.0,-7924.0,174900.64110605896,166976.64110605896,-174900.64110605896,128,1.0,127.91398935350217,8743.915270626352,300
0.0,0.0,-7936.0,174931.5418641721,166995.5418641721,-174931.5418641721,128,1.0,127.9166771780402,8745.248591672633,400
0.0,0.0,-7936.0,174931.5418641721,166995.5418641721,-174931.5418641721,128,1.0,127.9166771780402,8745.248591672633,500
0.0,0.0,-7936.0,174931.5418641721,166995.5418641721,-174931.5418641721,128,1.0,127.9166771780402,8745.248591672633,600
0.0,0.0,-7936.0,174931.5418641721,166995.5418641721,-174931.5418641721,128,1.0,127.9166771780402,8745.248591672633,700
0.0,0.0,-7936.0,174931.5418641721,166995.5418641721,-174931.5418641721,128,1.0,127.9166771780402,8745.248591672633,800
0.0,0.0,-7936.0,174931.5418641721,166995.5418641721,-174931.5418641721,128,1.0,127.9166771780402,8745.248591672633,900
0.0,0.0,-7936.0,174931.5418641721,166995.5418641721,-174931.5418641721,128,1.0,127.9166771780402,8745.248591672633,1000
0.0,0.0,-7936.0,174931.5418641721,166995.5418641721,-174931.5418641721,128,1.0,127.9166771780402,8745.248591672633,1100
0.0,0.0,-7936.0,174931.5418641721,166995.5418641721,-174931.5418641721,128,1.0,127.9166771780402,8745.248591672633,1200
0.0,0.0,-7924.0,174900.6411060043,166976.6411060043,-174900.6411060043,128,1.0,127.91398935208497,8743.915270626314,1300
0.0,0.0,-7936.0,174931.5418641721,166995.5418641721,-174931.5418641721,128,1.0,127.9166771780402,8745.248591672633,1400
0.0,0.0,-7936.0,174931.5418641721,166995.5418641721,-174931.5418641721,128,1.0,127.9166771780402,8745.248591672633,1500
0.0,0.0,-7936.0,174931.5418641721,166995.5418641721,-174931.5418641721,128,1.0,127.9166771780402,8745.248591672633,1600
0.0,0.0,-7936.0,174931.5418641721,166995.5418641721,-174931.5418641721,128,1.0,127.9166771780402,8745.248591672633,1700
0.0,0.0,-7936.0,174931.5418641721,166995.5418641721,-174931.5418641721,128,1.0,127.9166771780402,8745.248591672633,1800
0.0,0.0,-7936.0,174931.5418641721,166995.5418641721,-174931.5418641721,128,1.0,127.9166771780402,8745.248591672633,1900
0.0,0.0,-7936.0,174931.5418641721,166995.5418641721,-174931.5418641721,128,1.0,127.9166771780402,8745.248591672633,2000
