time,energy
0.000000000000000000e+00,1.499613280324876494e-02
1.000000000000000056e-01,1.504007691127806461e-02
2.000000000000000111e-01,1.517216677959714113e-02
2.999999999999999889e-01,1.539317655029485282e-02
4.000000000000000222e-01,1.570440150034985161e-02
5.000000000000000000e-01,1.610766563288974079e-02
5.999999999999999778e-01,1.660533236716764394e-02
7.000000000000000666e-01,1.720031838990702250e-02
8.000000000000000444e-01,1.789611074919372768e-02
9.000000000000000222e-01,1.869678729109791604e-02
1.000000000000000000e+00,1.960704055879899238e-02
1.100000000000000089e+00,2.063220529427992403e-02
1.199999999999999956e+00,2.177828970377069726e-02
1.300000000000000044e+00,2.305201067017883729e-02
1.400000000000000133e+00,2.446083311887754103e-02
1.500000000000000000e+00,2.601301376756323669e-02
1.600000000000000089e+00,2.771764951658830037e-02
1.699999999999999956e+00,2.958473076337143903e-02
1.800000000000000044e+00,3.162519995334657497e-02
1.900000000000000133e+00,3.385101571060107617e-02
2.000000000000000000e+00,3.627522292405538362e-02
2.100000000000000089e+00,3.891202919993947545e-02
2.200000000000000178e+00,4.177688812863319945e-02
2.300000000000000266e+00,4.488658985387402461e-02
2.399999999999999911e+00,4.825935947513353835e-02
2.500000000000000000e+00,5.191496385987152962e-02
2.600000000000000089e+00,5.587482749166459983e-02
2.700000000000000178e+00,6.016215803316338900e-02
2.800000000000000266e+00,6.480208233976761378e-02
2.899999999999999911e+00,6.982179372115777938e-02
3.000000000000000000e+00,7.525071131374234945e-02
3.100000000000000089e+00,8.112065249805819334e-02
3.200000000000000178e+00,8.746601937161456453e-02
3.300000000000000266e+00,9.432400037004685933e-02
3.399999999999999911e+00,1.017347882182251806e-01
3.500000000000000000e+00,1.097418154886691255e-01
3.600000000000000089e+00,1.183920091478112557e-01
3.700000000000000178e+00,1.277360655819341773e-01
3.800000000000000266e+00,1.378287477146321049e-01
3.899999999999999911e+00,1.487292059571198588e-01
4.000000000000000000e+00,1.605013248723903829e-01
4.099999999999999645e+00,1.732140975849226772e-01
4.200000000000000178e+00,1.869420301302523180e-01
4.299999999999999822e+00,2.017655781141846072e-01
4.400000000000000355e+00,2.177716182407892220e-01
4.500000000000000000e+00,2.350539574726718262e-01
4.600000000000000533e+00,2.537138828075678476e-01
4.700000000000000178e+00,2.738607548933492675e-01
4.799999999999999822e+00,2.956126489604554708e-01
4.900000000000000355e+00,3.190970468280750483e-01
5.000000000000000000e+00,3.444515840397376349e-01
5.100000000000000533e+00,3.718248565070665368e-01
5.200000000000000178e+00,4.013772913892103000e-01
5.299999999999999822e+00,4.332820873119355154e-01
5.400000000000000355e+00,4.677262294367424689e-01
5.500000000000000000e+00,5.049115853290452316e-01
5.600000000000000533e+00,5.450560880479933257e-01
5.700000000000000178e+00,5.883950133916969749e-01
5.799999999999999822e+00,6.351823587834359852e-01
5.900000000000000355e+00,6.856923318801235734e-01
6.000000000000000000e+00,7.402209576273430791e-01
6.100000000000000533e+00,7.990878131794644235e-01
6.200000000000000178e+00,8.626379008527258474e-01
6.299999999999999822e+00,9.312436700881373541e-01
6.400000000000000355e+00,1.005307200274371482e+00
6.500000000000000000e+00,1.085262557223563462e+00
6.600000000000000533e+00,1.171578337110663393e+00
6.700000000000000178e+00,1.264760412785675303e+00
6.799999999999999822e+00,1.365354898554149488e+00
6.900000000000000355e+00,1.473951350801685045e+00
7.000000000000000000e+00,1.591186223220418361e+00
7.100000000000000533e+00,1.717746596887621102e+00
7.200000000000000178e+00,1.854374207057361224e+00
7.299999999999999822e+00,2.001869790265139226e+00
7.400000000000000355e+00,2.161097777222674488e+00
7.500000000000000000e+00,2.332991359006591381e+00
7.600000000000000533e+00,2.518557956232544193e+00
7.700000000000000178e+00,2.718885123268078630e+00
7.799999999999999822e+00,2.935146922087193744e+00
7.900000000000000355e+00,3.168610803121997499e+00
8.000000000000000000e+00,3.420645033438217908e+00
8.099999999999999645e+00,3.692726715769044432e+00
8.199999999999999289e+00,3.986450445404640774e+00
8.300000000000000711e+00,4.303537655672942996e+00
8.400000000000000355e+00,4.645846706783038016e+00
8.500000000000000000e+00,5.015383777159007295e+00
8.599999999999999645e+00,5.414314621095347668e+00
8.700000000000001066e+00,5.844977261642311461e+00
8.800000000000000711e+00,6.309895693110659565e+00
8.900000000000000355e+00,6.811794673502395092e+00
9.000000000000000000e+00,7.353615693561817324e+00
9.099999999999999645e+00,7.938534216037082203e+00
9.200000000000001066e+00,8.569978286186799465e+00
9.300000000000000711e+00,9.251648622602660410e+00
9.400000000000000355e+00,9.987540306094887299e+00
9.500000000000000000e+00,1.078196619375298937e+01
9.599999999999999645e+00,1.163958219540518257e+01
9.700000000000001066e+00,1.256541456061479245e+01
9.800000000000000711e+00,1.356488933613510994e+01
9.900000000000000355e+00,1.464386416646475553e+01
1.000000000000000000e+01,1.580866262387772281e+01
1.009999999999999964e+01,1.706611126912689258e+01
1.020000000000000107e+01,1.842357966002358083e+01
