time,energy
0.000000000000000000e+00,1.995534994353496216e+01
1.000000000000000056e-01,1.995520560126228204e+01
2.000000000000000111e-01,1.995507294410564114e+01
2.999999999999999889e-01,1.995495716437669387e+01
4.000000000000000222e-01,1.995485998524967997e+01
5.000000000000000000e-01,1.995477952383763309e+01
5.999999999999999778e-01,1.995471111475568549e+01
7.000000000000000666e-01,1.995464881115953304e+01
8.000000000000000444e-01,1.995458708483936050e+01
9.000000000000000222e-01,1.995452221323865061e+01
1.000000000000000000e+00,1.995445297298696730e+01
1.100000000000000089e+00,1.995438050494199089e+01
1.199999999999999956e+00,1.995430748825777556e+01
1.300000000000000044e+00,1.995423697014021869e+01
1.400000000000000133e+00,1.995417127929215084e+01
1.500000000000000000e+00,1.995411138562295861e+01
1.600000000000000089e+00,1.995405688657570664e+01
1.699999999999999956e+00,1.995400656800742212e+01
1.800000000000000044e+00,1.995395928492161630e+01
1.900000000000000133e+00,1.995391480140882123e+01
2.000000000000000000e+00,1.995387425239597334e+01
2.100000000000000089e+00,1.995384003056767241e+01
2.200000000000000178e+00,1.995381510906665667e+01
2.300000000000000266e+00,1.995380201171794710e+01
2.399999999999999911e+00,1.995380176841579001e+01
2.500000000000000000e+00,1.995381320208996456e+01
2.600000000000000089e+00,1.995383278498010071e+01
2.700000000000000178e+00,1.995385511645061527e+01
2.800000000000000266e+00,1.995387387863798523e+01
2.899999999999999911e+00,1.995388298737427490e+01
3.000000000000000000e+00,1.995387761826740558e+01
3.100000000000000089e+00,1.995385485718963281e+01
3.200000000000000178e+00,1.995381386769400223e+01
3.300000000000000266e+00,1.995375562787440415e+01
3.399999999999999911e+00,1.995368240767306034e+01
3.500000000000000000e+00,1.995359719743289872e+01
3.600000000000000089e+00,1.995350325591108742e+01
3.700000000000000178e+00,1.995340384927933997e+01
3.800000000000000266e+00,1.995330214803948010e+01
3.899999999999999911e+00,1.995320118049068014e+01
4.000000000000000000e+00,1.995310373418421079e+01
4.099999999999999645e+00,1.995301214782728394e+01
4.200000000000000178e+00,1.995292801824430384e+01
4.299999999999999822e+00,1.995285192156436693e+01
4.400000000000000355e+00,1.995278328060944872e+01
4.500000000000000000e+00,1.995272048508539697e+01
4.600000000000000533e+00,1.995266129461586146e+01
4.700000000000000178e+00,1.995260345407687907e+01
4.799999999999999822e+00,1.995254536316846483e+01
4.900000000000000355e+00,1.995248660137180607e+01
5.000000000000000000e+00,1.995242813378865776e+01
5.100000000000000533e+00,1.995237210928750216e+01
5.200000000000000178e+00,1.995232128484363088e+01
5.299999999999999822e+00,1.995227822998214862e+01
5.400000000000000355e+00,1.995224454242090317e+01
5.500000000000000000e+00,1.995222031228172099e+01
5.600000000000000533e+00,1.995220400225838375e+01
5.700000000000000178e+00,1.995219278552272613e+01
5.799999999999999822e+00,1.995218324260925158e+01
5.900000000000000355e+00,1.995217221011640163e+01
6.000000000000000000e+00,1.995215753429583572e+01
6.100000000000000533e+00,1.995213852357739981e+01
6.200000000000000178e+00,1.995211599864428109e+01
6.299999999999999822e+00,1.995209196702874621e+01
6.400000000000000355e+00,1.995206905476236514e+01
6.500000000000000000e+00,1.995204987568947885e+01
6.600000000000000533e+00,1.995203650024758346e+01
6.700000000000000178e+00,1.995203011794071557e+01
6.799999999999999822e+00,1.995203090699257231e+01
6.900000000000000355e+00,1.995203806644614275e+01
7.000000000000000000e+00,1.995204994950688615e+01
7.100000000000000533e+00,1.995206425735943156e+01
7.200000000000000178e+00,1.995207828593866139e+01
7.299999999999999822e+00,1.995208923553330749e+01
7.400000000000000355e+00,1.995209457810898357e+01
7.500000000000000000e+00,1.995209243538548805e+01
7.600000000000000533e+00,1.995208187726429827e+01
7.700000000000000178e+00,1.995206303654575919e+01
7.799999999999999822e+00,1.995203697147892186e+01
7.900000000000000355e+00,1.995200528734666179e+01
8.000000000000000000e+00,1.995196962172244071e+01
8.099999999999999645e+00,1.995193116285169666e+01
8.199999999999999289e+00,1.995189037268225363e+01
8.300000000000000711e+00,1.995184701727957943e+01
8.400000000000000355e+00,1.995180049164284597e+01
8.500000000000000000e+00,1.995175031004554356e+01
8.599999999999999645e+00,1.995169656604930708e+01
8.700000000000001066e+00,1.995164017747029206e+01
8.800000000000000711e+00,1.995158281667169931e+01
8.900000000000000355e+00,1.995152654985800567e+01
9.000000000000000000e+00,1.995147331919888245e+01
9.099999999999999645e+00,1.995142445437996770e+01
9.200000000000001066e+00,1.995138037736785463e+01
9.300000000000000711e+00,1.995134058026458490e+01
9.400000000000000355e+00,1.995130385015755792e+01
9.500000000000000000e+00,1.995126863197451073e+01
9.599999999999999645e+00,1.995123339177373722e+01
9.700000000000001066e+00,1.995119687354188187e+01
9.800000000000000711e+00,1.995115821112255361e+01
9.900000000000000355e+00,1.995111692757167887e+01
1.000000000000000000e+01,1.995107289405925144e+01
1.009999999999999964e+01,1.995102631402112081e+01
1.020000000000000107e+01,1.995097775365710291e+01
1.030000000000000071e+01,1.995092818353757025e+01
1.040000000000000036e+01,1.995087895982675619e+01
