step_idx,time,phase_increment,phase_cumulative
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+01,4.000000000000000222e-01,8.178947749618274976e-01,8.178947749618274976e-01
1.600000000000000000e+02,8.000000000000000444e-01,8.178890315325137994e-01,1.635783806494341297e+00
2.400000000000000000e+02,1.199999999999999956e+00,8.178834160073203963e-01,2.453667222501661804e+00
3.200000000000000000e+02,1.600000000000000089e+00,8.178867986148322666e-01,3.271554021116493960e+00
4.000000000000000000e+02,2.000000000000000000e+00,8.178810169757571025e-01,4.089435038092251062e+00
4.800000000000000000e+02,2.399999999999999911e+00,8.178824777958730863e-01,4.907317515888124149e+00
5.600000000000000000e+02,2.800000000000000266e+00,8.178680922717711521e-01,5.725185608159895523e+00
6.400000000000000000e+02,3.200000000000000178e+00,8.178468492125778866e-01,6.543032457372473409e+00
7.200000000000000000e+02,3.600000000000000089e+00,8.178518836090722388e-01,7.360884340981545648e+00
8.000000000000000000e+02,4.000000000000000000e+00,8.178623385344419017e-01,8.178746679515986884e+00
8.800000000000000000e+02,4.400000000000000355e+00,8.178636440460922419e-01,8.996610323562078904e+00
9.600000000000000000e+02,4.799999999999999822e+00,8.178586041571083154e-01,9.814468927719186553e+00
1.040000000000000000e+03,5.200000000000000178e+00,8.178537312793272562e-01,1.063232265899851470e+01
1.120000000000000000e+03,5.600000000000000533e+00,8.178465698965711184e-01,1.145016922889508493e+01
1.200000000000000000e+03,6.000000000000000000e+00,8.178341335834353742e-01,1.226800336247852030e+01
1.280000000000000000e+03,6.400000000000000355e+00,8.178315035377065056e-01,1.308583486601622603e+01
1.360000000000000000e+03,6.799999999999999822e+00,8.178333252285147070e-01,1.390366819124474063e+01
1.440000000000000000e+03,7.200000000000000178e+00,8.178264007752326092e-01,1.472149459201997246e+01
1.520000000000000000e+03,7.600000000000000533e+00,8.178111083744429299e-01,1.553930570039441506e+01
1.600000000000000000e+03,8.000000000000000000e+00,8.178021093963768751e-01,1.635710780979079360e+01
1.680000000000000000e+03,8.400000000000000355e+00,8.178024054507726515e-01,1.717491021524156736e+01
1.760000000000000000e+03,8.800000000000000711e+00,8.178029433847344709e-01,1.799271315862630161e+01
1.840000000000000000e+03,9.200000000000001066e+00,8.178051094750036221e-01,1.881051826810130478e+01
1.920000000000000000e+03,9.599999999999999645e+00,8.178033652125920039e-01,1.962832163331389523e+01
2.000000000000000000e+03,1.000000000000000000e+01,8.178007721959582588e-01,2.044612240550985405e+01
2.080000000000000000e+03,1.040000000000000036e+01,8.178015890556167289e-01,2.126392399456547011e+01
2.160000000000000000e+03,1.080000000000000071e+01,8.178078848953803659e-01,2.208173187946085037e+01
2.240000000000000000e+03,1.120000000000000107e+01,8.178167885659066716e-01,2.289954866802675681e+01
2.320000000000000000e+03,1.159999999999999964e+01,8.178282605275345452e-01,2.371737692855429103e+01
2.400000000000000000e+03,1.200000000000000000e+01,8.178298358343345509e-01,2.453520676438862580e+01
2.480000000000000000e+03,1.240000000000000036e+01,8.178113443689198903e-01,2.535301810875754569e+01
2.560000000000000000e+03,1.280000000000000071e+01,8.178129298152938542e-01,2.617083103857283888e+01
2.640000000000000000e+03,1.320000000000000107e+01,8.178308301022018112e-01,2.698866186867504169e+01
2.720000000000000000e+03,1.359999999999999964e+01,8.178360403025516367e-01,2.780649790897759388e+01
2.800000000000000000e+03,1.400000000000000000e+01,8.178260116830758930e-01,2.862432392066066811e+01
2.880000000000000000e+03,1.440000000000000036e+01,8.178112960847692126e-01,2.944213521674543799e+01
2.960000000000000000e+03,1.480000000000000071e+01,8.178078630852978481e-01,3.025994307983073739e+01
3.040000000000000000e+03,1.520000000000000107e+01,8.177962682937209848e-01,3.107773934812446015e+01
3.120000000000000000e+03,1.559999999999999964e+01,8.177875755524234291e-01,3.189552692367688280e+01
3.200000000000000000e+03,1.600000000000000000e+01,8.177949750109291260e-01,3.271332189868780915e+01
3.280000000000000000e+03,1.639999999999999858e+01,8.178002082119767424e-01,3.353112210689978667e+01
3.360000000000000000e+03,1.680000000000000071e+01,8.178139791468607145e-01,3.434893608604664905e+01
3.440000000000000000e+03,1.719999999999999929e+01,8.178291905452882427e-01,3.516676527659193852e+01
3.520000000000000000e+03,1.760000000000000142e+01,8.178399217004840294e-01,3.598460519829242088e+01
3.600000000000000000e+03,1.800000000000000000e+01,8.178434929569655676e-01,3.680244869124938845e+01
3.680000000000000000e+03,1.840000000000000213e+01,8.178390961248546143e-01,3.762028778737424517e+01
3.760000000000000000e+03,1.880000000000000071e+01,8.178366623353502396e-01,3.843812444970959774e+01
3.840000000000000000e+03,1.919999999999999929e+01,8.178233490439537068e-01,3.925594779875355300e+01
3.920000000000000000e+03,1.960000000000000142e+01,8.178312564882608271e-01,4.007377905524181472e+01
4.000000000000000000e+03,2.000000000000000000e+01,8.178400616271276347e-01,4.089161911686894513e+01
