frame_index,time,n_lumps
0,0.0,199
50,0.25,143
100,0.5,152
150,0.75,159
200,1.0,143
250,1.25,108
300,1.5,108
350,1.75,102
400,2.0,103
450,2.25,106
500,2.5,92
550,2.75,96
600,3.0,104
650,3.25,101
700,3.5,88
750,3.75,87
800,4.0,86
850,4.25,72
900,4.5,85
950,4.75,85
1000,5.0,79
1050,5.25,84
1100,5.5,77
1150,5.75,74
1200,6.0,77
1250,6.25,77
1300,6.5,76
1350,6.75,72
1400,7.0,73
1450,7.25,72
1500,7.5,72
1550,7.75,74
1600,8.0,70
1650,8.25,69
1700,8.5,74
1750,8.75,72
1800,9.0,60
1850,9.25,73
1900,9.5,73
1950,9.75,64
2000,10.0,72
2050,10.25,71
2100,10.5,67
2150,10.75,67
2200,11.0,75
2250,11.25,70
2300,11.5,79
2350,11.75,60
2400,12.0,62
2450,12.25,63
2500,12.5,66
2550,12.75,68
2600,13.0,69
2650,13.25,61
2700,13.5,64
2750,13.75,65
2800,14.0,61
2850,14.25,58
2900,14.5,63
2950,14.75,64
3000,15.0,61
3050,15.25,63
3100,15.5,69
3150,15.75,69
3200,16.0,60
3250,16.25,59
3300,16.5,72
3350,16.75,62
3400,17.0,59
3450,17.25,65
3500,17.5,62
3550,17.75,62
3600,18.0,67
3650,18.25,70
3700,18.5,62
3750,18.75,72
3800,19.0,59
3850,19.25,69
3900,19.5,64
3950,19.75,67
4000,20.0,66
4050,20.25,61
4100,20.5,70
4150,20.75,65
4200,21.0,58
4250,21.25,58
4300,21.5,50
4350,21.75,64
4400,22.0,69
4450,22.25,67
4500,22.5,51
4550,22.75,61
4600,23.0,61
4650,23.25,63
4700,23.5,61
4750,23.75,60
4800,24.0,53
4850,24.25,62
4900,24.5,55
4950,24.75,55
5000,25.0,57
5050,25.25,53
5100,25.5,57
5150,25.75,56
5200,26.0,56
5250,26.25,59
5300,26.5,61
5350,26.75,53
5400,27.0,52
5450,27.25,59
5500,27.5,56
5550,27.75,53
5600,28.0,59
5650,28.25,54
5700,28.5,54
5750,28.75,60
5800,29.0,60
5850,29.25,62
5900,29.5,62
5950,29.75,59
6000,30.0,62
6050,30.25,55
6100,30.5,62
6150,30.75,60
6200,31.0,55
6250,31.25,53
6300,31.5,61
6350,31.75,61
6400,32.0,59
6450,32.25,62
6500,32.5,56
6550,32.75,53
6600,33.0,59
6650,33.25,52
6700,33.5,58
6750,33.75,44
6800,34.0,63
6850,34.25,48
6900,34.5,51
6950,34.75,61
7000,35.0,52
7050,35.25,55
7100,35.5,56
7150,35.75,56
7200,36.0,52
7250,36.25,65
7300,36.5,64
7350,36.75,56
7400,37.0,57
7450,37.25,54
7500,37.5,55
7550,37.75,55
7600,38.0,48
7650,38.25,53
7700,38.5,60
7750,38.75,38
7800,39.0,55
7850,39.25,52
7900,39.5,58
7950,39.75,51
8000,40.0,59
