E_substrate,E_defrag,E_total,participation_ratio,max_rho,var_rho,norm,step,time
2342.842873884196,-60.50077484303144,2324.6926414312866,0.00022616985185265064,1.8086094542638957,0.04210272734672495,4171.80013266368,0,0.0
2336.0349032208724,-37.99841653848403,2324.6353782593274,0.00022615176896950798,1.7485665015816052,0.04218903971339799,4171.8001326636795,50,0.25
2338.292858904364,-47.584663658849834,2324.017459806709,0.00022643634359661353,1.7792186443813183,0.04083232009552827,4171.800132663668,100,0.5
2335.5861998058604,-35.40992576045918,2324.9632220777225,0.0002260101093574893,1.8173659963690154,0.04286568061337457,4171.800132663673,150,0.75
2336.3208066708085,-39.66086192703374,2324.4225480926984,0.00022620701054105642,1.7596995743985715,0.041925406557993136,4171.800132663673,200,1.0
2337.1861905186274,-41.01689981364637,2324.8811205745337,0.00022609631120525277,2.0799559191343224,0.04245383420310687,4171.8001326636795,250,1.25
2335.908881907174,-37.1040891252518,2324.7776551695983,0.00022617685259638683,1.8799458476269884,0.04206931543212797,4171.800132663673,300,1.5
2339.8112020567078,-49.369883708179245,2325.000236944254,0.0002260518225980092,1.8071030439630733,0.04266634811817123,4171.800132663662,350,1.75
2334.966331900581,-31.436001161315517,2325.535531552186,0.0002257593927533844,1.897010311034242,0.04406531651678956,4171.800132663675,400,2.0
2340.5463009550967,-51.59561913351348,2325.0676152150427,0.0002259596368159727,1.837408336193803,0.043106969040552626,4171.800132663679,450,2.25
2335.1657340768343,-34.98540830610703,2324.6701115850024,0.0002261062254168952,1.8355941416022628,0.04240648722769304,4171.800132663682,500,2.5
