step,time,norm,E_total,E_dirac,E_em
200,2.000000,1.0000000000000000e+00,6.0586657686008252e-02,5.8702052979596478e-02,1.8846047064117720e-03
400,4.000000,1.0000000000000000e+00,1.4436205516260655e-02,-1.2698239406938362e-03,1.5706029456954491e-02
600,6.000000,9.9999999999999989e-01,2.2059511973674624e-02,-1.1534600676356329e-02,3.3594112650030955e-02
800,8.000000,1.0000000000000002e+00,5.2936649584996942e-02,7.7191102198943991e-03,4.5217539365102546e-02
1000,10.000000,1.0000000000000000e+00,7.7326580134939496e-02,2.3094954617197901e-02,5.4231625517741591e-02
1200,12.000000,9.9999999999999989e-01,9.5039171043524176e-02,2.9784105857866502e-02,6.5255065185657671e-02
1400,14.000000,1.0000000000000002e+00,1.1082581858411060e-01,3.2006428831025793e-02,7.8819389753084806e-02
1600,16.000000,1.0000000000000002e+00,1.2560031509936082e-01,3.2153553392451746e-02,9.3446761706909076e-02
1800,18.000000,1.0000000000000000e+00,1.3906039303822079e-01,3.1263804834826554e-02,1.0779658820339424e-01
2000,20.000000,1.0000000000000000e+00,1.5111247960388072e-01,2.9949216612926821e-02,1.2116326299095390e-01
