id1,id2,t_start,t_end,min_sep
2.754000000000000000e+03,1.938000000000000000e+03,2.800000000000000266e+00,1.650000000000000000e+01,3.245129303668930820e+00
2.754000000000000000e+03,3.147000000000000000e+03,3.500000000000000000e+00,1.630000000000000071e+01,2.236067977499789805e+00
2.754000000000000000e+03,4.655000000000000000e+03,6.400000000000000355e+00,1.910000000000000142e+01,1.641380365318566348e+00
2.754000000000000000e+03,2.865000000000000000e+03,3.000000000000000000e+00,1.559999999999999964e+01,1.000000000000000000e+00
2.754000000000000000e+03,2.800000000000000000e+01,2.800000000000000266e+00,1.250000000000000000e+01,1.414213562373095145e+00
2.754000000000000000e+03,4.236000000000000000e+03,5.600000000000000533e+00,1.780000000000000071e+01,1.862629258629323603e+00
2.754000000000000000e+03,4.100000000000000000e+03,5.400000000000000355e+00,1.730000000000000071e+01,2.236067977499789805e+00
2.754000000000000000e+03,2.700000000000000000e+01,2.800000000000000266e+00,1.130000000000000071e+01,3.605551275463989125e+00
2.754000000000000000e+03,2.995000000000000000e+03,3.200000000000000178e+00,1.450000000000000000e+01,4.367849049154580499e+00
2.754000000000000000e+03,4.754000000000000000e+03,6.600000000000000533e+00,1.769999999999999929e+01,2.000566813104761810e+00
2.754000000000000000e+03,2.756000000000000000e+03,2.800000000000000266e+00,1.380000000000000071e+01,1.359252977591905331e+00
2.754000000000000000e+03,6.101000000000000000e+03,9.099999999999999645e+00,1.980000000000000071e+01,4.000000000000000000e+00
2.754000000000000000e+03,3.671000000000000000e+03,4.500000000000000000e+00,1.470000000000000107e+01,7.453559924999320074e-01
2.754000000000000000e+03,4.998000000000000000e+03,7.000000000000000000e+00,1.719999999999999929e+01,1.000000000000000000e+00
2.754000000000000000e+03,5.041000000000000000e+03,7.100000000000000533e+00,1.730000000000000071e+01,1.414213562373095145e+00
2.754000000000000000e+03,5.140000000000000000e+03,7.299999999999999822e+00,1.740000000000000213e+01,3.020255796174560192e+00
2.754000000000000000e+03,5.789000000000000000e+03,8.500000000000000000e+00,1.840000000000000213e+01,7.284313590846851483e-01
2.754000000000000000e+03,2.316000000000000000e+03,2.800000000000000266e+00,1.180000000000000071e+01,1.518592258962095043e+00
2.754000000000000000e+03,3.353000000000000000e+03,3.899999999999999911e+00,1.370000000000000107e+01,4.123105625617660586e+00
2.754000000000000000e+03,6.702000000000000000e+03,1.020000000000000107e+01,2.000000000000000000e+01,3.000000000000000000e+00
2.754000000000000000e+03,6.386000000000000000e+03,9.599999999999999645e+00,1.919999999999999929e+01,1.414213562373095145e+00
2.754000000000000000e+03,6.579000000000000000e+03,1.000000000000000000e+01,1.950000000000000000e+01,1.184535441701940028e+00
2.754000000000000000e+03,3.960000000000000000e+03,5.100000000000000533e+00,1.450000000000000000e+01,1.414213562373095145e+00
2.754000000000000000e+03,2.266000000000000000e+03,2.800000000000000266e+00,1.120000000000000107e+01,3.162277660168379523e+00
2.754000000000000000e+03,3.490000000000000000e+03,4.200000000000000178e+00,1.350000000000000000e+01,5.000000000000000000e+00
2.754000000000000000e+03,6.652000000000000000e+03,1.009999999999999964e+01,1.930000000000000071e+01,1.414213562373095145e+00
2.754000000000000000e+03,2.632000000000000000e+03,2.800000000000000266e+00,1.170000000000000107e+01,1.128882818202827432e+00
2.754000000000000000e+03,5.100000000000000000e+03,7.200000000000000178e+00,1.630000000000000071e+01,3.000000000000000000e+00
2.754000000000000000e+03,5.216000000000000000e+03,7.400000000000000355e+00,1.650000000000000000e+01,2.748737083745107501e+00
2.754000000000000000e+03,5.464000000000000000e+03,7.900000000000000355e+00,1.689999999999999858e+01,7.142857142857181874e-01
2.754000000000000000e+03,3.251000000000000000e+03,3.700000000000000178e+00,1.259999999999999964e+01,3.814348796286587184e+00
2.754000000000000000e+03,6.767000000000000000e+03,1.030000000000000071e+01,1.919999999999999929e+01,1.491472358415794286e+00
2.754000000000000000e+03,1.282000000000000000e+03,2.800000000000000266e+00,8.900000000000000355e+00,1.000000000000000000e+00
2.754000000000000000e+03,4.235000000000000000e+03,5.600000000000000533e+00,1.440000000000000036e+01,3.005076749199845576e+00
2.754000000000000000e+03,7.146000000000000000e+03,1.100000000000000000e+01,1.980000000000000071e+01,1.414213562373095145e+00
2.754000000000000000e+03,6.000000000000000000e+00,2.800000000000000266e+00,8.599999999999999645e+00,1.444008306735766078e+00
2.754000000000000000e+03,2.100000000000000000e+01,2.800000000000000266e+00,8.599999999999999645e+00,7.982406959162009485e-01
2.754000000000000000e+03,3.485000000000000000e+03,4.200000000000000178e+00,1.280000000000000071e+01,5.000000000000000000e+00
9.900000000000000000e+01,3.390000000000000000e+03,4.000000000000000000e+00,1.520000000000000107e+01,3.199151121975103873e+00
9.900000000000000000e+01,1.942000000000000000e+03,1.300000000000000044e+00,1.480000000000000071e+01,3.000000000000000000e+00
9.900000000000000000e+01,5.500000000000000000e+01,0.000000000000000000e+00,1.309999999999999964e+01,1.000000000000000000e+00
9.900000000000000000e+01,2.214000000000000000e+03,1.800000000000000044e+00,1.480000000000000071e+01,4.581228472908503990e-01
9.900000000000000000e+01,3.147000000000000000e+03,3.500000000000000000e+00,1.520000000000000107e+01,3.528311152922418259e+00
9.900000000000000000e+01,2.800000000000000000e+01,0.000000000000000000e+00,1.250000000000000000e+01,4.242640687119284770e+00
9.900000000000000000e+01,3.677000000000000000e+03,4.500000000000000000e+00,1.520000000000000107e+01,2.236067977499789805e+00
9.900000000000000000e+01,1.230000000000000000e+02,0.000000000000000000e+00,1.209999999999999964e+01,3.162277660168379523e+00
9.900000000000000000e+01,3.316000000000000000e+03,3.800000000000000266e+00,1.520000000000000107e+01,7.079080355865956520e-01
9.900000000000000000e+01,2.700000000000000000e+01,0.000000000000000000e+00,1.130000000000000071e+01,3.162277660168379523e+00
9.900000000000000000e+01,2.756000000000000000e+03,2.800000000000000266e+00,1.380000000000000071e+01,3.397159158799329060e+00
9.900000000000000000e+01,2.105000000000000000e+03,1.500000000000000000e+00,1.240000000000000036e+01,2.080031396937290555e+00
9.900000000000000000e+01,2.639000000000000000e+03,2.600000000000000089e+00,1.270000000000000107e+01,1.000000000000000000e+00
9.900000000000000000e+01,2.316000000000000000e+03,2.000000000000000000e+00,1.180000000000000071e+01,5.000000000000000000e+00
9.900000000000000000e+01,2.937000000000000000e+03,3.100000000000000089e+00,1.290000000000000036e+01,3.000000000000000000e+00
9.900000000000000000e+01,3.353000000000000000e+03,3.899999999999999911e+00,1.370000000000000107e+01,4.522918319343917304e+00
9.900000000000000000e+01,4.660000000000000000e+03,6.400000000000000355e+00,1.520000000000000107e+01,3.601216165897260346e+00
9.900000000000000000e+01,1.644000000000000000e+03,7.000000000000000666e-01,1.000000000000000000e+01,3.006040781349834212e+00
9.900000000000000000e+01,4.006000000000000000e+03,5.200000000000000178e+00,1.450000000000000000e+01,4.560502816690620520e+00
9.900000000000000000e+01,4.018000000000000000e+03,5.200000000000000178e+00,1.450000000000000000e+01,2.364226969010769785e+00
9.900000000000000000e+01,4.244000000000000000e+03,5.600000000000000533e+00,1.480000000000000071e+01,4.472135954999579610e+00
9.900000000000000000e+01,2.632000000000000000e+03,2.600000000000000089e+00,1.170000000000000107e+01,5.000000000000000000e+00
9.900000000000000000e+01,1.010000000000000000e+02,0.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
9.900000000000000000e+01,1.291000000000000000e+03,1.000000000000000056e-01,9.000000000000000000e+00,1.187509531064640633e+00
9.900000000000000000e+01,3.681000000000000000e+03,4.500000000000000000e+00,1.340000000000000036e+01,3.257644071711820910e+00
9.900000000000000000e+01,5.303000000000000000e+03,7.600000000000000533e+00,1.520000000000000107e+01,4.282597338028357292e+00
9.900000000000000000e+01,1.578000000000000000e+03,5.999999999999999778e-01,9.400000000000000355e+00,4.000000000000000000e+00
