time,energy
0.000000000000000000e+00,9.837936433546010974e-04
1.000000000000000056e-01,9.837938720029097174e-04
2.000000000000000111e-01,9.837945578597584624e-04
2.999999999999999889e-01,9.837957006609489470e-04
4.000000000000000222e-01,9.837972999662632136e-04
5.000000000000000000e-01,9.837993551596330849e-04
5.999999999999999778e-01,9.838018654493791218e-04
7.000000000000000666e-01,9.838048298685137666e-04
8.000000000000000444e-01,9.838082472751138747e-04
9.000000000000000222e-01,9.838121163527632860e-04
1.000000000000000000e+00,9.838164356110556778e-04
1.100000000000000089e+00,9.838212033861715774e-04
1.199999999999999956e+00,9.838264178415186915e-04
1.300000000000000044e+00,9.838320769684396738e-04
1.400000000000000133e+00,9.838381785869849440e-04
1.500000000000000000e+00,9.838447203467529448e-04
1.600000000000000089e+00,9.838516997277952335e-04
1.699999999999999956e+00,9.838591140415883611e-04
1.800000000000000044e+00,9.838669604320677674e-04
1.900000000000000133e+00,9.838752358767295474e-04
2.000000000000000000e+00,9.838839371877937997e-04
2.100000000000000089e+00,9.838930610134323778e-04
2.200000000000000178e+00,9.839026038390614754e-04
2.300000000000000266e+00,9.839125619886934099e-04
2.399999999999999911e+00,9.839229316263541081e-04
2.500000000000000000e+00,9.839337087575613077e-04
2.600000000000000089e+00,9.839448892308610885e-04
2.700000000000000178e+00,9.839564687394288054e-04
2.800000000000000266e+00,9.839684428227279175e-04
2.899999999999999911e+00,9.839808068682277982e-04
3.000000000000000000e+00,9.839935561131796585e-04
3.100000000000000089e+00,9.840066856464540525e-04
3.200000000000000178e+00,9.840201904104297747e-04
3.300000000000000266e+00,9.840340652029432554e-04
3.399999999999999911e+00,9.840483046792923832e-04
3.500000000000000000e+00,9.840629033542954048e-04
3.600000000000000089e+00,9.840778556044040351e-04
3.700000000000000178e+00,9.840931556698699102e-04
3.800000000000000266e+00,9.841087976569613469e-04
3.899999999999999911e+00,9.841247755402366976e-04
4.000000000000000000e+00,9.841410831648638932e-04
4.099999999999999645e+00,9.841577142489896408e-04
4.200000000000000178e+00,9.841746623861637004e-04
4.299999999999999822e+00,9.841919210478013245e-04
4.400000000000000355e+00,9.842094835857025104e-04
4.500000000000000000e+00,9.842273432346107173e-04
4.600000000000000533e+00,9.842454931148192886e-04
4.700000000000000178e+00,9.842639262348212414e-04
4.799999999999999822e+00,9.842826354940043768e-04
4.900000000000000355e+00,9.843016136853836862e-04
5.000000000000000000e+00,9.843208534983792935e-04
5.100000000000000533e+00,9.843403475216325627e-04
5.200000000000000178e+00,9.843600882458608016e-04
5.299999999999999822e+00,9.843800680667483954e-04
5.400000000000000355e+00,9.844002792878787066e-04
5.500000000000000000e+00,9.844207141236978494e-04
5.600000000000000533e+00,9.844413647025120756e-04
5.700000000000000178e+00,9.844622230695222395e-04
5.799999999999999822e+00,9.844832811898871026e-04
5.900000000000000355e+00,9.845045309518187307e-04
6.000000000000000000e+00,9.845259641697065144e-04
6.100000000000000533e+00,9.845475725872715467e-04
6.200000000000000178e+00,9.845693478807450699e-04
6.299999999999999822e+00,9.845912816620772806e-04
6.400000000000000355e+00,9.846133654821676018e-04
6.500000000000000000e+00,9.846355908341181563e-04
6.600000000000000533e+00,9.846579491565119607e-04
6.700000000000000178e+00,9.846804318367108518e-04
6.799999999999999822e+00,9.847030302141724940e-04
6.900000000000000355e+00,9.847257355837877712e-04
7.000000000000000000e+00,9.847485391992314048e-04
7.100000000000000533e+00,9.847714322763342562e-04
7.200000000000000178e+00,9.847944059964653871e-04
7.299999999999999822e+00,9.848174515099299489e-04
7.400000000000000355e+00,9.848405599393759632e-04
7.500000000000000000e+00,9.848637223832177982e-04
7.600000000000000533e+00,9.848869299190609466e-04
7.700000000000000178e+00,9.849101736071426329e-04
7.799999999999999822e+00,9.849334444937726373e-04
7.900000000000000355e+00,9.849567336147843112e-04
8.000000000000000000e+00,9.849800319989871107e-04
8.099999999999999645e+00,9.850033306716215152e-04
8.199999999999999289e+00,9.850266206578180660e-04
8.300000000000000711e+00,9.850498929860520680e-04
8.400000000000000355e+00,9.850731386916011106e-04
8.500000000000000000e+00,9.850963488199989022e-04
8.599999999999999645e+00,9.851195144304832497e-04
8.700000000000001066e+00,9.851426265994403519e-04
8.800000000000000711e+00,9.851656764238436725e-04
8.900000000000000355e+00,9.851886550246811026e-04
9.000000000000000000e+00,9.852115535503775702e-04
9.099999999999999645e+00,9.852343631802029048e-04
9.200000000000001066e+00,9.852570751276708109e-04
9.300000000000000711e+00,9.852796806439235305e-04
9.400000000000000355e+00,9.853021710211011096e-04
9.500000000000000000e+00,9.853245375956963537e-04
9.599999999999999645e+00,9.853467717518922184e-04
9.700000000000001066e+00,9.853688649248796855e-04
9.800000000000000711e+00,9.853908086041595921e-04
9.900000000000000355e+00,9.854125943368173546e-04
1.000000000000000000e+01,9.854342137307818637e-04
1.009999999999999964e+01,9.854556584580564070e-04
1.020000000000000107e+01,9.854769202579287748e-04
1.030000000000000071e+01,9.854979909401516587e-04
1.040000000000000036e+01,9.855188623880974629e-04
1.050000000000000000e+01,9.855395265618857939e-04
1.059999999999999964e+01,9.855599755014810264e-04
1.070000000000000107e+01,9.855802013297569088e-04
1.080000000000000071e+01,9.856001962555323292e-04
1.090000000000000036e+01,9.856199525765715203e-04
1.100000000000000000e+01,9.856394626825519534e-04
1.109999999999999964e+01,9.856587190579951547e-04
1.120000000000000107e+01,9.856777142851621751e-04
1.130000000000000071e+01,9.856964410469106798e-04
1.140000000000000036e+01,9.857148921295145246e-04
1.150000000000000000e+01,9.857330604254410482e-04
1.159999999999999964e+01,9.857509389360899835e-04
1.170000000000000107e+01,9.857685207744890012e-04
1.180000000000000071e+01,9.857857991679467528e-04
1.190000000000000036e+01,9.858027674606618940e-04
1.200000000000000000e+01,9.858194191162863562e-04
1.209999999999999964e+01,9.858357477204443813e-04
1.220000000000000107e+01,9.858517469832025516e-04
1.230000000000000071e+01,9.858674107414927643e-04
1.240000000000000036e+01,9.858827329614862009e-04
1.250000000000000000e+01,9.858977077409176396e-04
1.259999999999999964e+01,9.859123293113605455e-04
1.270000000000000107e+01,9.859265920404459982e-04
1.280000000000000071e+01,9.859404904340358673e-04
1.290000000000000036e+01,9.859540191383365723e-04
1.300000000000000000e+01,9.859671729419627537e-04
1.309999999999999964e+01,9.859799467779439136e-04
1.320000000000000107e+01,9.859923357256770646e-04
1.330000000000000071e+01,9.860043350128216977e-04
1.340000000000000036e+01,9.860159400171388065e-04
1.350000000000000000e+01,9.860271462682696289e-04
1.359999999999999964e+01,9.860379494494603964e-04
1.370000000000000107e+01,9.860483453992222470e-04
1.380000000000000071e+01,9.860583301129371460e-04
1.390000000000000036e+01,9.860678997443981034e-04
1.400000000000000000e+01,9.860770506072921455e-04
1.409999999999999964e+01,9.860857791766197526e-04
1.420000000000000107e+01,9.860940820900529306e-04
1.430000000000000071e+01,9.861019561492310494e-04
1.440000000000000036e+01,9.861093983209914121e-04
1.450000000000000000e+01,9.861164057385386761e-04
1.459999999999999964e+01,9.861229757025485702e-04
1.470000000000000107e+01,9.861291056822089462e-04
1.480000000000000071e+01,9.861347933161931749e-04
1.490000000000000036e+01,9.861400364135710934e-04
1.500000000000000000e+01,9.861448329546505624e-04
1.509999999999999964e+01,9.861491810917593932e-04
1.520000000000000107e+01,9.861530791499537648e-04
1.530000000000000071e+01,9.861565256276641923e-04
1.540000000000000036e+01,9.861595191972751407e-04
1.550000000000000000e+01,9.861620587056343836e-04
1.559999999999999964e+01,9.861641431744996942e-04
1.570000000000000107e+01,9.861657718009137624e-04
1.580000000000000071e+01,9.861669439575142769e-04
1.590000000000000036e+01,9.861676591927757019e-04
1.600000000000000000e+01,9.861679172311814488e-04
1.610000000000000142e+01,9.861677179733338138e-04
1.619999999999999929e+01,9.861670614959886731e-04
1.630000000000000071e+01,9.861659480520266422e-04
1.639999999999999858e+01,9.861643780703576671e-04
1.650000000000000000e+01,9.861623521557531889e-04
1.660000000000000142e+01,9.861598710886152093e-04
1.669999999999999929e+01,9.861569358246737981e-04
1.680000000000000071e+01,9.861535474946210664e-04
1.689999999999999858e+01,9.861497074036735828e-04
1.700000000000000000e+01,9.861454170310712548e-04
1.710000000000000142e+01,9.861406780295061715e-04
1.719999999999999929e+01,9.861354922244868274e-04
1.730000000000000071e+01,9.861298616136344748e-04
1.740000000000000213e+01,9.861237883659139912e-04
1.750000000000000000e+01,9.861172748207981762e-04
1.760000000000000142e+01,9.861103234873663456e-04
1.769999999999999929e+01,9.861029370433389580e-04
1.780000000000000071e+01,9.860951183340437194e-04
1.790000000000000213e+01,9.860868703713218403e-04
1.800000000000000000e+01,9.860781963323675056e-04
1.810000000000000142e+01,9.860690995585025091e-04
1.819999999999999929e+01,9.860595835538908237e-04
1.830000000000000071e+01,9.860496519841885528e-04
1.840000000000000213e+01,9.860393086751296967e-04
1.850000000000000000e+01,9.860285576110555412e-04
