time,energy
0.000000000000000000e+00,2.047999999999999821e-01
1.000000000000000056e-01,2.048001192007687099e-01
2.000000000000000111e-01,2.048004760775533617e-01
2.999999999999999889e-01,2.048010684582058372e-01
4.000000000000000222e-01,2.048018927371717535e-01
5.000000000000000000e-01,2.048029438974363070e-01
5.999999999999999778e-01,2.048042155410603748e-01
7.000000000000000666e-01,2.048056999281218926e-01
8.000000000000000444e-01,2.048073880238252542e-01
9.000000000000000222e-01,2.048092695534922125e-01
1.000000000000000000e+00,2.048113330650990771e-01
1.100000000000000089e+00,2.048135659989798463e-01
1.199999999999999956e+00,2.048159547642717793e-01
1.300000000000000044e+00,2.048184848216361709e-01
1.400000000000000133e+00,2.048211407717533683e-01
1.500000000000000000e+00,2.048239064490510186e-01
1.600000000000000089e+00,2.048267650200970291e-01
1.699999999999999956e+00,2.048296990860568045e-01
1.800000000000000044e+00,2.048326907885920645e-01
1.900000000000000133e+00,2.048357219185569233e-01
2.000000000000000000e+00,2.048387740268284574e-01
2.100000000000000089e+00,2.048418285365979086e-01
2.200000000000000178e+00,2.048448668564400998e-01
2.300000000000000266e+00,2.048478704934703354e-01
2.399999999999999911e+00,2.048508211659026967e-01
2.500000000000000000e+00,2.048537009143230336e-01
2.600000000000000089e+00,2.048564922109994968e-01
2.700000000000000178e+00,2.048591780665663942e-01
2.800000000000000266e+00,2.048617421334303912e-01
2.899999999999999911e+00,2.048641688052711407e-01
3.000000000000000000e+00,2.048664433120302442e-01
3.100000000000000089e+00,2.048685518098091740e-01
3.200000000000000178e+00,2.048704814651316486e-01
3.300000000000000266e+00,2.048722205330546497e-01
3.399999999999999911e+00,2.048737584286549063e-01
3.500000000000000000e+00,2.048750857914545809e-01
3.600000000000000089e+00,2.048761945423940578e-01
3.700000000000000178e+00,2.048770779330056357e-01
3.800000000000000266e+00,2.048777305864885601e-01
3.899999999999999911e+00,2.048781485304350114e-01
4.000000000000000000e+00,2.048783292210084039e-01
4.099999999999999645e+00,2.048782715584265279e-01
4.200000000000000178e+00,2.048779758936556394e-01
4.299999999999999822e+00,2.048774440262739471e-01
4.400000000000000355e+00,2.048766791935188181e-01
4.500000000000000000e+00,2.048756860505826505e-01
4.600000000000000533e+00,2.048744706422792605e-01
4.700000000000000178e+00,2.048730403662517019e-01
4.799999999999999822e+00,2.048714039279459775e-01
4.900000000000000355e+00,2.048695712876251185e-01
5.000000000000000000e+00,2.048675535997453723e-01
5.100000000000000533e+00,2.048653631450642054e-01
5.200000000000000178e+00,2.048630132558928452e-01
5.299999999999999822e+00,2.048605182349482745e-01
5.400000000000000355e+00,2.048578932682994791e-01
5.500000000000000000e+00,2.048551543329362457e-01
5.600000000000000533e+00,2.048523180995245885e-01
5.700000000000000178e+00,2.048494018309401088e-01
5.799999999999999822e+00,2.048464232771962656e-01
5.900000000000000355e+00,2.048434005674082681e-01
6.000000000000000000e+00,2.048403520994493687e-01
6.100000000000000533e+00,2.048372964279711606e-01
