t,E_total,E_kin,E_defrag,E_symm,E_EM
0.000000000000000000e+00,5.382119457894853021e+00,3.401055149738940742e+00,1.981064308155912501e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,5.931570736114800013e+00,3.745603721619662263e+00,1.974327577585952342e+00,0.000000000000000000e+00,2.116394369091854910e-01
4.000000000000000000e+00,1.213735964404643028e+03,4.147217939551598676e+00,1.966007047612145620e+00,0.000000000000000000e+00,1.207622739417479352e+03
6.000000000000000000e+00,2.967571791089965403e+07,4.617798694974007745e+00,1.956105156800794109e+00,0.000000000000000000e+00,2.967571133699580282e+07
8.000000000000000000e+00,1.224747317591992920e+12,5.172047474611860096e+00,1.944135120672997097e+00,0.000000000000000000e+00,1.224747317584876709e+12
1.000000000000000000e+01,6.035604080431270400e+16,5.828146031233527147e+00,1.929731688820912616e+00,0.000000000000000000e+00,6.035604080431269600e+16
1.200000000000000000e+01,3.265344331000864309e+21,6.608764040157091735e+00,1.912209095720535323e+00,0.000000000000000000e+00,3.265344331000864309e+21
1.400000000000000000e+01,1.878580042055622228e+26,7.542261130624261511e+00,1.890945550735452230e+00,0.000000000000000000e+00,1.878580042055622228e+26
1.600000000000000000e+01,1.130947209041648784e+31,8.664170513417300157e+00,1.865010731813491418e+00,0.000000000000000000e+00,1.130947209041648784e+31
1.800000000000000000e+01,7.057447885944349647e+35,1.001916347468024426e+01,1.833128198668562137e+00,0.000000000000000000e+00,7.057447885944349647e+35
2.000000000000000000e+01,4.536423291362163086e+40,1.166324605603633913e+01,1.794277214806141663e+00,0.000000000000000000e+00,4.536423291362163086e+40
2.200000000000000000e+01,2.989860443715329061e+45,1.366750625427628663e+01,1.746540915005824646e+00,0.000000000000000000e+00,2.989860443715329061e+45
2.400000000000000000e+01,2.013299974648009765e+50,1.612132163655741124e+01,1.689071463083507751e+00,0.000000000000000000e+00,2.013299974648009765e+50
2.600000000000000000e+01,1.381084363070274409e+55,1.913874336164727907e+01,1.618945405013008099e+00,0.000000000000000000e+00,1.381084363070274409e+55
2.800000000000000000e+01,9.627740971755257970e+59,2.286502349682316293e+01,1.534349766625157985e+00,0.000000000000000000e+00,9.627740971755257970e+59
3.000000000000000000e+01,6.806403614645038459e+64,2.748576572802526385e+01,1.434536388624954917e+00,0.000000000000000000e+00,6.806403614645038459e+64
3.200000000000000000e+01,4.871088238539882820e+69,3.323958033709385518e+01,1.319781734996854805e+00,0.000000000000000000e+00,4.871088238539882820e+69
3.400000000000000000e+01,3.523578114445764991e+74,4.042273113608661106e+01,1.199437952536131391e+00,0.000000000000000000e+00,3.523578114445764991e+74
3.600000000000000000e+01,2.572876029362686374e+79,4.944785561234283477e+01,1.091885530310213070e+00,0.000000000000000000e+00,2.572876029362686374e+79
3.800000000000000000e+01,1.894253119801598597e+84,6.082212350692779523e+01,1.049734202383636017e+00,0.000000000000000000e+00,1.894253119801598597e+84
4.000000000000000000e+01,1.404808086351103665e+89,7.520003870356467246e+01,1.128300108129675960e+00,0.000000000000000000e+00,1.404808086351103665e+89
