traj_id,charge,length,total_phase_rad,total_phase_cycles
2.000000000000000000e+00,-1.000000000000000000e+00,1.020000000000000000e+02,-2.024065277292067222e+01,-3.221399940217003266e+00
8.000000000000000000e+00,-1.000000000000000000e+00,1.010000000000000000e+02,-1.692497534471338128e+01,-2.693693487819589727e+00
1.100000000000000000e+01,1.000000000000000000e+00,1.030000000000000000e+02,-1.000729837561427082e+01,-1.592711003474506004e+00
1.600000000000000000e+01,-1.000000000000000000e+00,8.500000000000000000e+01,3.357400073797147222e+00,5.343468176819101689e-01
2.100000000000000000e+01,-1.000000000000000000e+00,1.110000000000000000e+02,9.542728274871926430e+00,1.518772375528661955e+00
2.800000000000000000e+01,1.000000000000000000e+00,1.170000000000000000e+02,-2.022414348569526155e+01,-3.218772405548155469e+00
3.000000000000000000e+01,1.000000000000000000e+00,8.400000000000000000e+01,-7.976702800205019983e+00,-1.269531680227592219e+00
3.400000000000000000e+01,-1.000000000000000000e+00,1.310000000000000000e+02,-1.685774285040127651e+01,-2.682993104013420727e+00
5.500000000000000000e+01,-1.000000000000000000e+00,9.100000000000000000e+01,-1.644129649904701651e+01,-2.616713608662806223e+00
7.900000000000000000e+01,1.000000000000000000e+00,8.800000000000000000e+01,-2.020787070817702613e+01,-3.216182512568293461e+00
8.400000000000000000e+01,-1.000000000000000000e+00,9.100000000000000000e+01,-1.248619214297284685e+01,-1.987239199949314195e+00
8.500000000000000000e+01,1.000000000000000000e+00,9.600000000000000000e+01,2.675603584738168728e+00,4.258355362654744347e-01
1.180000000000000000e+02,-1.000000000000000000e+00,1.470000000000000000e+02,-5.562501631735154994e+00,-8.852996306473835952e-01
1.190000000000000000e+02,-1.000000000000000000e+00,1.410000000000000000e+02,-1.368768828536119919e-01,-2.178463250116264086e-02
1.200000000000000000e+02,1.000000000000000000e+00,1.250000000000000000e+02,-2.858834088910018423e+01,-4.549975767296444928e+00
